BetId,BetGroupId,Bookie,BookieId,Win,Event,Date settled
28fbb61a-2787-476e-aa6b-150134d69c42,fb161499-9747-4347-b059-ed0106ea0e58,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,spurs to win champions league,15/05/2019 00:00:00
10ec47e2-6cb2-47c2-a188-7ef9ab042d63,3b5ece83-b377-405d-b33a-74ce44888581,Betfair,b239164f-e52b-4577-9af3-727ea91257cc,FALSE,spurs to beat ajax,30/04/2019 00:00:00
e6c779bd-dcd3-443d-b6dc-b33910009e24,f86c9f25-7e4a-41d9-8001-622b9bcff1fa,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,barcelona to beat liverpool,01/05/2019 00:00:00
ecd7225e-89d2-4d73-81f9-52c7e6a0d3f1,5359bf67-6fb9-4ce7-aacf-0dfcd0aedd56,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,liverpool to beat barca at half time,01/05/2019 00:00:00
68419f41-c159-44c1-8c7a-015a64d6bc2d,51fea79f-cc01-4774-a214-6160274e5360,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,chelsea watford draw,05/05/2019 00:00:00
94746403-9d60-4fd0-9728-a02bf8b4f37b,ab10473b-c1e3-41e7-97fa-f9c9bceccea4,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,everton to beat burnley,03/05/2019 00:00:00
177f8671-baa2-4bd5-8cfa-d4ca3c304b11,0a9a8af6-a1cd-45c0-92f2-9472d6fa96a5,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,everton burnley btts,03/05/2019 00:00:00
2ee4e745-7d53-4261-8530-4787f0865bf5,e5907b11-eed3-4fe8-bf0a-eea8a2f59269,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,bournemouth 1 : 2 spurs,04/05/2019 00:00:00
274a5d0e-58ca-47b1-882c-c4caae58c64b,81cc00b2-9104-46bb-b7ac-03653910d318,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,dortmind to beat werder bremen,04/05/2019 00:00:00
7f88e7b1-eac1-4810-90be-a25b1526a2f0,ffb399fe-c9b8-499e-919e-0db45e0d62f1,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,cardiff to beat palace,04/05/2019 00:00:00
1d47361e-2b8b-4619-b7db-8e85a2d2c1ed,db07702c-da60-4b21-a804-ac67c6ab86fa,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,schalke to beat leverkusen,11/05/2019 00:00:00
723562b2-8ca6-49a3-9907-940ce165c13e,ffaafe62-ee7e-4b26-a509-f80bb47b7eed,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,villareal to beat real madrid,05/05/2019 00:00:00
8ff883f4-c4bd-4f70-85e5-e7af6f9f5ba4,70177869-7ee4-4e9f-968c-c383eb7dce54,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,chelsea watford > 2.5 goals,05/05/2019 00:00:00
7b180c69-8c99-4f6a-8be0-2d058149619c,4095bf8b-5992-440d-85a8-98e2d6f564d6,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,napoli to beat cagliari,05/05/2019 00:00:00
78e6740a-342a-4eb8-9bed-3384004f30e7,f245aec9-72f0-415c-ab08-170ad3727f50,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,higgins to beat trump,05/05/2019 00:00:00
36c63d92-bb08-4f8d-b7ac-2578b410b320,92009c39-5d7d-4d35-9672-723c50119172,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,city 3 leicester 1,06/05/2019 00:00:00
e8fb3a64-5961-42a2-baa4-27381384baca,6d11be47-7197-4157-b8ad-c763f478ff33,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,city to beat leicester,06/05/2019 00:00:00
ff930f8f-f405-4a9e-b3ab-e142d16945a1,1ae1e2e3-5e83-441d-9245-50f6e123a27c,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,liverpool to beat barca at half time,07/05/2019 00:00:00
3d9c8cae-fdc6-4b9b-9e90-87d27cf83487,2386b250-38fe-401a-89c1-195b0c3df6fd,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,frankfurt to beat chelsea,08/05/2019 00:00:00
9e4cf0f4-f82c-485e-b1a3-739d9c741da2,5ad489b2-f66b-43a0-a468-fede9dbb14e9,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,derby villa under 2.5 goals,27/05/2019 00:00:00
15bcd493-dbe5-4f9f-b1dd-7efb42eeed3a,742f5ab1-8e4e-4954-b067-cefb7d82a20e,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,wehen falf time vs inglosradt,29/05/2019 00:00:00
2bfe034a-14d4-4564-9670-ce37b356cf4d,0236e539-df5b-45c6-86b3-b5bea2d029a6,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,FALSE,dream magic leicester 14.20,27/05/2019 00:00:00
f0d350be-8ef7-4168-862f-e68bd480bd89,5c2999b2-1620-44f9-bc21-6c0453fd0195,Smarkets,3a67dee0-d855-48b1-a25f-b7ceead5525e,TRUE,pierre huerbert to beat medvedev,27/05/2019 00:00:00
